"Дані або capability","Поле маніфесту","Urban Low Height","Class","Що потрібно"
"Identity та registry","id, label","Готово","Готово","Уже готово"
"Configurator","remote.configurator","Готово: ID 4","Готово: ID 4","Уже готово"
"Countertop DataTable","remote.countertopTable","Готово: ID 438","Готово: ID 438","Підтвердити, як таблиця розділяє колекції"
"Cabinet DataTable","remote.cabinetTable","Готово: ID 439","Готово: ID 439","Підтвердити, як таблиця розділяє колекції"
"UI та навігація","local.ui","Частково: мінімальна схема","Частково: мінімальна схема","Додати повні кроки, секції та поля для всього flow"
"Окремий navigation-файл","local.navigation","Не обов'язковий","Не обов'язковий","Навігація вже генерується з ui.json"
"Початкові значення","defaults","Відсутні: {}","Відсутні: {}","Надати затверджені стартові значення атрибутів"
"Presets","local.presets","Відсутні","Відсутні","Додати presets.json, BOM кожної композиції та зображення"
"Default preset","defaultPresetId","Відсутній","Відсутній","Надати ID затвердженого початкового preset"
"Product rules","local.productProfile","Відсутні","Відсутні","Додати атрибути, option catalogs, aliases, defaults, capabilities і rules"
"Статичні опції UI","local.staticOptions","Відсутні","Відсутні","Додати collection-specific списки типів та статичних значень"
"PlayCanvas mappings","local.runtimeBindings","Відсутні","Відсутні","Надати product types, targets, value mappings, reset/order behavior"
"Cabinet SKU mappings","local.cabinetSkuMappings","Відсутні","Відсутні","Додати відповідність конфігурації SKU та quantities"
"Pricing","Окремий контракт ще треба погодити","Відсутній","Відсутній","Додати pricing sources, countertop SKU, quote та summary identity"
"Реальний browser/scene flow","Не окреме поле manifest","Не готовий","Не готовий","Перевірити UI → runtime → readback → Save/restore → price"
